0.0334704,1,0.0265,0.0762987,4.65361e-310,0.0329541,0.463452,0.149319
0.0400507,2,0.0326,0.0929959,4.65361e-310,0.0400153,0.638828,0.148448
0.0480246,3,0.0402,0.113347,4.65361e-310,0.0486395,0.505511,0.149747
0.0580605,4,0.0493,0.138152,4,0.0583112,0.585624,0.156396
0.0701086,5,0.0554,0.168385,4,0.0700943,0.585525,0.161842
0.0863324,6,0.068,0.205235,4,0.0828325,0.57334,0.173397
0.100786,7,0.0875,0.250149,4,0.0978426,0.698666,0.185908
0.117236,8,0.0926,0.304891,4,0.11578,0.839781,0.197015
0.13859,9,0.1124,0.371614,4,0.134819,0.913812,0.210228
0.155645,10,0.1204,0.452938,4,0.15727,1.37247,0.2207
