0.0335632,1,0.0259,0.0762987,0.0551563,0.0329455,0.49212,0.147659
0.0395303,2,0.0345,0.0929959,0.0672267,0.0401563,0.534593,0.148271
0.0482765,3,0.0392,0.113347,0.0819387,0.048385,0.593658,0.150559
0.0583715,4,0.0513,0.138152,0.0998702,0.0581354,0.573655,0.15639
0.0700002,5,0.0588,0.168385,0.121726,0.0699172,0.580332,0.163585
0.0836175,6,0.0651,0.205235,0.148364,0.0831452,0.820724,0.174182
0.0996058,7,0.0794,0.250149,0.180832,0.098713,0.711821,0.183536
0.119174,8,0.0977,0.304891,0.220406,0.115272,0.805554,0.197274
0.137913,9,0.1072,0.371614,0.26864,0.134515,0.996865,0.210073
0.158578,10,0.1251,0.452938,0.327429,0.157183,1.09598,0.221563
