0.128262,0.7,0.1114,0.287374,4.66311e-310,0.127845,0.456407,0.13931
0.0953421,0.7,0.0876,0.217824,4.66311e-310,0.0960312,0.478266,0.142843
0.0727028,0.7,0.0611,0.165106,4.66311e-310,0.0722627,0.453558,0.144672
0.0544605,0.7,0.0449,0.125147,0.7,0.0544366,0.496271,0.146341
0.0409648,0.7,0.0366,0.0948584,0.7,0.0412076,0.504176,0.146928
0.0309133,0.7,0.0248,0.0719006,0.7,0.0310808,0.515164,0.148699
0.0232186,0.7,0.0197,0.0544992,0.7,0.0234937,0.535347,0.15031
0.0175746,0.7,0.0142,0.0413092,0.7,0.0177074,0.575979,0.150342
0.0127959,0.7,0.0101,0.0313115,0.7,0.0134213,0.848495,0.150594
0.0104392,0.7,0.0101,0.0237334,0.7,0.0101646,0.549465,0.151672
